CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3519006,Herculândia,9649,243,239,4,4,2,19,64,88,36,17,7,3,1,1,1,252.0,Média
3519055,Holambra,15605,136,125,11,1,1,16,62,46,7,0,1,0,2,0,0,87.0,Baixa
3519071,Hortolândia,237570,1145,1139,6,17,37,161,407,313,75,45,22,12,23,14,19,48.0,Baixa
3519105,Iacanga,12002,183,162,21,1,2,8,39,70,23,14,6,0,4,4,12,152.0,Média
3519204,Iacri,6269,351,351,0,14,7,15,176,72,9,2,7,4,7,17,21,560.0,Alta
3519253,Iaras,9786,252,245,7,0,0,28,124,91,8,1,0,0,0,0,0,258.0,Média
3519303,Ibaté,35830,1382,1367,15,0,22,230,383,512,159,54,19,1,1,0,1,386.0,Alta
3519402,Ibirá,12639,841,836,5,0,8,126,408,253,30,11,5,0,0,0,0,665.0,Alta
3519501,Ibirarema,7926,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,Baixa
3519600,Ibitinga,61150,504,502,2,0,3,55,163,179,45,40,10,4,0,2,3,82.0,Baixa
3519709,Ibiúna,80062,9,6,3,0,0,2,2,3,1,0,0,0,1,0,0,1.0,Baixa
3519808,Icém,8363,178,176,2,61,42,36,21,12,3,2,0,0,1,0,0,213.0,Média
3519907,Iepê,8228,126,124,2,1,0,1,6,51,9,5,8,4,3,3,35,153.0,Média
3520004,Igaraçu do Tietê,24821,43,29,14,0,0,2,18,20,3,0,0,0,0,0,0,17.0,Baixa
3520103,Igarapava,30791,70,70,0,2,0,2,6,19,11,6,7,7,2,5,3,23.0,Baixa
3520202,Igaratá,9631,5,4,1,1,0,1,1,2,0,0,0,0,0,0,0,5.0,Baixa
3520301,Iguape,31117,8,8,0,1,0,0,2,3,2,0,0,0,0,0,0,3.0,Baixa
3520400,Ilhabela,36194,430,406,24,113,42,28,64,44,58,46,12,15,8,0,0,119.0,Média
3520426,Ilha Comprida,11552,4,4,0,0,0,0,3,1,0,0,0,0,0,0,0,3.0,Baixa
3520442,Ilha Solteira,26886,58,57,1,0,4,7,8,13,4,9,3,0,1,3,6,22.0,Baixa
3520509,Indaiatuba,260690,1382,1372,10,3,26,147,681,402,91,21,8,0,1,1,1,53.0,Baixa
